date,gwl,pr,tm
1980-01-13,193.02,0.0,-9.718831
1980-01-20,193.01,0.0024452715,-4.7529764
1980-01-27,192.99,0.282395,-5.8060308
1980-02-03,193.05,12.730934,0.9180194
1980-02-10,193.07,0.021239597,6.0288224
1980-02-17,193.06,0.039306894,1.8017025
1980-02-24,193.02,0.0,-0.20863783
1980-03-02,193.02,3.552381,0.47767884
1980-03-09,193.0,0.2370054,1.605345
1980-03-16,192.99,0.0,4.165185
1980-03-23,192.99,0.003992541,1.2604346
1980-03-30,192.97,4.0236335,3.1618361
1980-04-06,192.98,0.033675924,1.8531908
1980-04-13,192.99,0.0,8.995524
1980-04-20,192.98,0.77535343,1.5341245
1980-04-27,193.06,16.01025,5.019575
1980-05-04,193.02,0.00044716528,4.036116
1980-05-11,193.02,0.0,10.032487
1980-05-18,192.99,0.0,12.629139
1980-05-25,192.95,0.3356174,9.048056
1980-06-01,192.94,0.2868857,10.081249
1980-06-08,192.94,0.45598587,14.230228
1980-06-15,192.98,0.3662745,15.518314
1980-06-22,192.97,4.147939,10.57509
1980-06-29,192.97,10.991617,10.115399
1980-07-06,193.07,0.43886054,13.04564
1980-07-13,193.06,7.311338,9.860868
1980-07-20,193.06,3.570911,15.134962
1980-07-27,193.06,3.0708256,18.963825
1980-08-03,192.97,4.6887813,21.347185
1980-08-10,192.94,0.00063754467,14.254856
1980-08-17,192.98,3.5595064,17.40021
1980-08-24,192.97,2.368588,9.4985075
1980-08-31,192.94,19.699339,12.9224415
1980-09-07,192.94,0.0,15.1904955
1980-09-14,192.96,10.188236,11.532387
1980-09-21,192.95,0.00044716528,16.431086
1980-09-28,193.01,0.031907156,9.342684
1980-10-05,192.97,0.16175908,7.8569283
1980-10-12,192.95,0.013119489,5.93469
1980-10-19,192.97,4.6737576,5.0523105
1980-10-26,192.98,2.475939,5.0929
1980-11-02,192.98,0.19187398,-4.888039
1980-11-09,192.97,0.082012534,-1.8618113
1980-11-16,193.01,4.910918,10.272452
1980-11-23,193.0,0.9691836,10.841308
1980-11-30,193.0,2.0569093,-3.6552854
1980-12-07,192.98,0.06672194,-7.9942527
1980-12-14,193.05,7.169209,6.765314
1980-12-21,193.02,3.9531794,1.3619175
1980-12-28,193.02,0.14407188,-0.88583547
1981-01-04,193.35,8.858511,0.38622025
1981-01-11,193.08,0.0036683227,-5.333653
1981-01-18,193.08,3.6465,-1.7486502
1981-01-25,193.06,2.7928894,0.74117035
1981-02-01,193.05,0.0,1.4312083
1981-02-08,193.12,2.1308935,5.219897
1981-02-15,193.08,0.038884975,-3.4797945
1981-02-22,193.05,0.31494626,-5.677598
1981-03-01,193.04,1.8286847,1.2207907
1981-03-08,193.06,6.4674554,9.629101
1981-03-15,193.6,1.2227703,4.385668
1981-03-22,193.19,0.370201,10.7501955
1981-03-29,193.14,0.0,9.497177
1981-04-05,193.02,1.6787877,3.3547318
1981-04-12,193.02,0.5584026,14.263096
1981-04-19,192.99,3.3713603,2.5658505
1981-04-26,192.98,0.09103917,10.798464
1981-05-03,192.98,0.39211598,3.4364014
1981-05-10,193.0,0.0,19.056166
1981-05-17,192.99,11.036702,9.288716
1981-05-24,192.95,4.8416452,10.21569
1981-05-31,192.94,5.0324063,19.126856
1981-06-07,193.17,0.10801996,15.7365
1981-06-14,192.98,1.9961485,17.76777
1981-06-21,192.97,10.21523,9.079979
1981-06-28,192.97,4.0769763,20.596138
1981-07-05,192.97,0.01242786,16.053238
1981-07-12,192.95,0.46449926,16.459286
1981-07-19,192.95,1.1758476,11.007221
1981-07-26,192.95,18.703978,12.035022
1981-08-02,192.92,3.1540782,13.489758
1981-08-09,192.97,9.143414,17.973663
1981-08-16,192.94,2.4611056,14.433622
1981-08-23,192.95,5.4898734,11.852042
1981-08-30,192.94,0.0,11.325526
1981-09-06,192.92,0.00044716528,12.937031
1981-09-13,192.9,0.87572646,12.080338
1981-09-20,192.92,5.8934975,16.433222
1981-09-27,192.92,0.091920815,11.059976
1981-10-04,192.92,1.7066044,8.903861
1981-10-11,192.92,3.106927,6.03692
1981-10-18,192.94,11.499119,8.664629
1981-10-25,192.94,0.9454975,4.3037777
1981-11-01,192.95,4.587568,9.468106
1981-11-08,192.94,1.4471262,-0.17795655
1981-11-15,192.97,0.101458706,-1.341454
1981-11-22,192.95,0.07332346,10.37353
1981-11-29,193.05,7.1783032,1.7483821
1981-12-06,193.05,5.728572,0.056098647
1981-12-13,193.03,0.3031735,-7.1663547
1981-12-20,192.99,0.08191747,-13.615714
1981-12-27,192.98,0.00044716528,-5.8753114
1982-01-03,193.05,0.48610634,7.08924
1982-01-10,193.09,0.0,-12.663898
1982-01-17,193.01,0.0,-1.6291897
1982-01-24,192.97,1.8919247,-0.30393544
1982-01-31,193.05,0.007343571,-0.48931587
1982-02-07,192.98,0.5835955,4.076544
1982-02-14,192.97,0.017862879,2.9151297
1982-02-21,192.95,0.0,-2.9223032
1982-02-28,192.94,1.0917532,2.942942
1982-03-07,192.97,0.0,0.16604756
1982-03-14,192.97,0.15461135,3.2181537
1982-03-21,192.98,0.18745726,2.3370771
1982-03-28,192.97,0.19021308,8.120366
1982-04-04,192.97,0.0,6.0662565
1982-04-11,192.9,2.903409,0.15114608
1982-04-18,192.92,0.0,4.8148904
1982-04-25,192.92,0.9794711,6.376955
1982-05-02,192.92,2.126206,2.690875
1982-05-09,192.92,1.3207784,9.149803
1982-05-16,192.9,0.41881618,18.487274
1982-05-23,192.92,13.72653,11.121403
1982-05-30,192.91,0.0,14.757824
1982-06-06,192.95,0.0024654763,20.541101
1982-06-13,192.94,9.174335,9.888831
1982-06-20,192.94,0.07218342,12.495711
1982-06-27,192.9,2.392158,14.426205
1982-07-04,192.9,1.0461831,12.96898
1982-07-11,192.9,0.0,20.236877
1982-07-18,192.89,0.003335537,16.12666
1982-07-25,192.89,0.002430807,17.431128
1982-08-01,192.88,0.0,21.718754
1982-08-08,192.89,0.054093745,18.301828
1982-08-15,192.88,7.4398828,16.306648
1982-08-22,192.88,0.044794455,13.873107
1982-08-29,192.88,0.00044716528,13.043363
1982-09-05,192.89,2.157302,17.87382
